Force_Transmissibility_Wall0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Force Trans. Wall,
1.126,1.03303,
1.1279,1.02223,
1.1298,1.0116,
1.1317,1.00113,
1.1336,0.990819,
1.1355,0.980666,
1.1374,0.970668,
1.1393,0.960823,
1.1412,0.95113,
1.1431,0.941585,
1.145,0.932187,
1.1469,0.922934,
1.1488,0.913822,
1.1507,0.90485,
1.1526,0.896015,
1.1545,0.887316,
1.1564,0.878749,
1.1583,0.870313,
1.1602,0.862006,
1.1621,0.853824,
1.164,0.845767,
1.1659,0.837832,
1.1678,0.830016,
1.1697,0.822318,
1.1716,0.814735,
1.1735,0.807266,
1.1754,0.799908,
1.1773,0.79266,
1.1792,0.785519,
1.1811,0.778483,
1.183,0.771551,
1.1849,0.764721,
1.1868,0.75799,
1.1887,0.751358,
1.1906,0.744821,
1.1925,0.738379,
1.1944,0.73203,
1.1963,0.725771,
1.1982,0.719602,
1.2001,0.713521,
1.202,0.707526,
1.2039,0.701615,
1.2058,0.695787,
1.2077,0.690041,
1.2096,0.684375,
1.2115,0.678787,
1.2134,0.673276,
1.2153,0.667841,
1.2172,0.662481,
1.2191,0.657193,
1.221,0.651977,
1.2229,0.646831,
1.2248,0.641755,
1.2267,0.636746,
1.2286,0.631804,
1.2305,0.626928,
1.2324,0.622116,
1.2343,0.617367,
1.2362,0.61268,
1.2381,0.608054,
1.24,0.603488,
1.2419,0.598981,
1.2438,0.594531,
1.2457,0.590139,
1.2476,0.585802,
1.2495,0.58152,
1.2514,0.577292,
1.2533,0.573117,
1.2552,0.568994,
1.2571,0.564923,
1.259,0.560901,
1.2609,0.55693,
1.2628,0.553006,
1.2647,0.549131,
1.2666,0.545302,
1.2685,0.54152,
1.2704,0.537784,
1.2723,0.534092,
1.2742,0.530443,
1.2761,0.526839,
1.278,0.523276,
1.2799,0.519756,
1.2818,0.516277,
1.2837,0.512838,
1.2856,0.509439,
1.2875,0.506079,
1.2894,0.502758,
1.2913,0.499475,
1.2932,0.496229,
1.2951,0.493019,
1.297,0.489846,
1.2989,0.486709,
1.3008,0.483607,
1.3027,0.480539,
1.3046,0.477505,
1.3065,0.474504,
1.3084,0.471537,
1.3103,0.468602,
1.3122,0.465698,
1.3141,0.462826,
1.316,0.459986,
1.3179,0.457175,
1.3198,0.454395,
1.3217,0.451644,
1.3236,0.448922,
1.3255,0.446229,
1.3274,0.443565,
1.3293,0.440928,
1.3312,0.438318,
1.3331,0.435736,
1.335,0.43318,
1.3369,0.430651,
1.3388,0.428147,
1.3407,0.425669,
1.3426,0.423216,
1.3445,0.420788,
1.3464,0.418384,
1.3483,0.416004,
1.3502,0.413648,
1.3521,0.411315,
1.354,0.409006,
1.3559,0.406719,
1.3578,0.404455,
1.3597,0.402212,
1.3616,0.399992,
1.3635,0.397793,
1.3654,0.395615,
1.3673,0.393458,
1.3692,0.391322,
1.3711,0.389206,
1.373,0.38711,
1.3749,0.385035,
1.3768,0.382978,
1.3787,0.380941,
1.3806,0.378923,
1.3825,0.376924,
1.3844,0.374943,
1.3863,0.37298,
1.3882,0.371036,
1.3901,0.369109,
1.392,0.3672,
1.3939,0.365308,
1.3958,0.363433,
1.3977,0.361576,
1.3996,0.359735,
1.4015,0.35791,
1.4034,0.356102,
1.4053,0.354309,
1.4072,0.352533,
1.4091,0.350772,
1.411,0.349027,
1.4129,0.347297,
1.4148,0.345582,
1.4167,0.343881,
1.4186,0.342196,
1.4205,0.340525,
1.4224,0.338868,
1.4243,0.337226,
1.4262,0.335598,
1.4281,0.333983,
1.43,0.332382,
1.4319,0.330794,
1.4338,0.32922,
1.4357,0.327659,
1.4376,0.326111,
1.4395,0.324576,
1.4414,0.323054,
1.4433,0.321544,
1.4452,0.320046,
1.4471,0.318561,
1.449,0.317088,
1.4509,0.315627,
1.4528,0.314178,
1.4547,0.31274,
1.4566,0.311314,
1.4585,0.309899,
1.4604,0.308496,
1.4623,0.307104,
1.4642,0.305723,
1.4661,0.304352,
1.468,0.302993,
1.4699,0.301644,
1.4718,0.300306,
1.4737,0.298978,
1.4756,0.297661,
1.4775,0.296354,
1.4794,0.295056,
1.4813,0.293769,
1.4832,0.292492,
1.4851,0.291224,
1.487,0.289966,
1.4889,0.288718,
1.4908,0.287479,
1.4927,0.28625,
1.4946,0.285029,
1.4965,0.283818,
1.4984,0.282616,
1.5003,0.281423,
1.5022,0.280238,
1.5041,0.279063,
1.506,0.277896,
1.5079,0.276737,
1.5098,0.275588,
1.5117,0.274446,
1.5136,0.273313,
1.5155,0.272188,
1.5174,0.271071,
1.5193,0.269962,
1.5212,0.268862,
1.5231,0.267769,
1.525,0.266684,
1.5269,0.265606,
1.5288,0.264536,
1.5307,0.263474,
1.5326,0.262419,
1.5345,0.261372,
1.5364,0.260332,
1.5383,0.2593,
1.5402,0.258274,
1.5421,0.257256,
1.544,0.256244,
1.5459,0.25524,
1.5478,0.254243,
1.5497,0.253252,
1.5516,0.252268,
1.5535,0.251291,
1.5554,0.250321,
1.5573,0.249357,
1.5592,0.2484,
1.5611,0.247449,
1.563,0.246504,
1.5649,0.245566,
1.5668,0.244634,
1.5687,0.243708,
1.5706,0.242789,
1.5725,0.241875,
1.5744,0.240968,
1.5763,0.240067,
1.5782,0.239171,
1.5801,0.238281,
1.582,0.237398,
1.5839,0.236519,
1.5858,0.235647,
1.5877,0.23478,
1.5896,0.233919,
1.5915,0.233064,
1.5934,0.232213,
1.5953,0.231369,
1.5972,0.230529,
1.5991,0.229696,
1.601,0.228867,
1.6029,0.228043,
1.6048,0.227225,
1.6067,0.226412,
1.6086,0.225604,
1.6105,0.224801,
1.6124,0.224004,
1.6143,0.223211,
1.6162,0.222423,
1.6181,0.22164,
1.62,0.220861,
1.6219,0.220088,
1.6238,0.219319,
1.6257,0.218555,
1.6276,0.217796,
1.6295,0.217041,
1.6314,0.216291,
1.6333,0.215545,
1.6352,0.214804,
1.6371,0.214068,
1.639,0.213336,
1.6409,0.212608,
1.6428,0.211884,
1.6447,0.211165,
1.6466,0.210451,
1.6485,0.20974,
1.6504,0.209034,
1.6523,0.208331,
1.6542,0.207633,
1.6561,0.20694,
1.658,0.20625,
1.6599,0.205564,
1.6618,0.204882,
1.6637,0.204204,
1.6656,0.20353,
1.6675,0.20286,
1.6694,0.202194,
1.6713,0.201532,
1.6732,0.200873,
1.6751,0.200218,
1.677,0.199567,
1.6789,0.19892,
1.6808,0.198276,
1.6827,0.197636,
1.6846,0.197,
1.6865,0.196367,
1.6884,0.195738,
1.6903,0.195113,
1.6922,0.19449,
1.6941,0.193872,
1.696,0.193257,
1.6979,0.192645,
1.6998,0.192036,
1.7017,0.191431,
1.7036,0.19083,
1.7055,0.190231,
1.7074,0.189636,
1.7093,0.189044,
1.7112,0.188456,
1.7131,0.187871,
1.715,0.187288,
1.7169,0.186709,
1.7188,0.186134,
1.7207,0.185561,
1.7226,0.184991,
1.7245,0.184425,
1.7264,0.183861,
1.7283,0.1833,
1.7302,0.182743,
1.7321,0.182188,
1.734,0.181637,
1.7359,0.181088,
1.7378,0.180542,
1.7397,0.179999,
1.7416,0.179459,
1.7435,0.178922,
1.7454,0.178388,
1.7473,0.177856,
1.7492,0.177328,
1.7511,0.176802,
1.753,0.176278,
1.7549,0.175758,
1.7568,0.17524,
1.7587,0.174725,
1.7606,0.174212,
1.7625,0.173702,
1.7644,0.173195,
1.7663,0.17269,
1.7682,0.172188,
1.7701,0.171689,
1.772,0.171192,
1.7739,0.170697,
1.7758,0.170205,
1.7777,0.169716,
1.7796,0.169229,
1.7815,0.168744,
1.7834,0.168262,
1.7853,0.167782,
1.7872,0.167305,
1.7891,0.16683,
1.791,0.166357,
1.7929,0.165887,
1.7948,0.165419,
1.7967,0.164954,
1.7986,0.16449,
1.8005,0.164029,
1.8024,0.163571,
1.8043,0.163114,
1.8062,0.16266,
1.8081,0.162208,
1.81,0.161758,
1.8119,0.16131,
1.8138,0.160865,
1.8157,0.160422,
1.8176,0.15998,
1.8195,0.159541,
1.8214,0.159104,
1.8233,0.15867,
1.8252,0.158237,
1.8271,0.157806,
1.829,0.157378,
1.8309,0.156951,
1.8328,0.156527,
1.8347,0.156104,
1.8366,0.155683,
1.8385,0.155265,
1.8404,0.154848,
1.8423,0.154434,
