Displacement_Transmissibility0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Disp. Trans.,
0.8562,2.21367,
0.8581,2.23291,
0.86,2.25243,
0.8619,2.27224,
0.8638,2.29234,
0.8657,2.31274,
0.8676,2.33344,
0.8695,2.35443,
0.8714,2.37573,
0.8733,2.39734,
0.8752,2.41925,
0.8771,2.44146,
0.879,2.46399,
0.8809,2.48683,
0.8828,2.50997,
0.8847,2.53343,
0.8866,2.5572,
0.8885,2.58127,
0.8904,2.60565,
0.8923,2.63033,
0.8942,2.65531,
0.8961,2.68059,
0.898,2.70616,
0.8999,2.73202,
0.9018,2.75815,
0.9037,2.78455,
0.9056,2.81122,
0.9075,2.83813,
0.9094,2.86529,
0.9113,2.89267,
0.9132,2.92027,
0.9151,2.94806,
0.917,2.97604,
0.9189,3.00417,
0.9208,3.03244,
0.9227,3.06083,
0.9246,3.08931,
0.9265,3.11786,
0.9284,3.14644,
0.9303,3.17502,
0.9322,3.20358,
0.9341,3.23206,
0.936,3.26045,
0.9379,3.28869,
0.9398,3.31674,
0.9417,3.34456,
0.9436,3.3721,
0.9455,3.3993,
0.9474,3.42613,
0.9493,3.45251,
0.9512,3.47839,
0.9531,3.50373,
0.955,3.52844,
0.9569,3.55248,
0.9588,3.57579,
0.9607,3.59828,
0.9626,3.61991,
0.9645,3.64061,
0.9664,3.66031,
0.9683,3.67895,
0.9702,3.69646,
0.9721,3.71279,
0.974,3.72788,
0.9759,3.74166,
0.9778,3.75408,
0.9797,3.7651,
0.9816,3.77467,
0.9835,3.78274,
0.9854,3.78928,
0.9873,3.79425,
0.9892,3.79763,
0.9911,3.7994,
0.993,3.79954,
0.9949,3.79804,
0.9968,3.79491,
0.9987,3.79014,
1.0006,3.78375,
1.0025,3.77574,
1.0044,3.76616,
1.0063,3.75502,
1.0082,3.74236,
1.0101,3.72821,
1.012,3.71263,
1.0139,3.69566,
1.0158,3.67736,
1.0177,3.65777,
1.0196,3.63697,
1.0215,3.615,
1.0234,3.59195,
1.0253,3.56786,
1.0272,3.54281,
1.0291,3.51687,
1.031,3.4901,
1.0329,3.46257,
1.0348,3.43434,
1.0367,3.40549,
1.0386,3.37607,
1.0405,3.34614,
1.0424,3.31578,
1.0443,3.28503,
1.0462,3.25395,
1.0481,3.2226,
1.05,3.19103,
1.0519,3.15928,
1.0538,3.12741,
1.0557,3.09546,
1.0576,3.06347,
1.0595,3.03148,
1.0614,2.99952,
1.0633,2.96763,
1.0652,2.93585,
1.0671,2.90419,
1.069,2.87269,
1.0709,2.84137,
1.0728,2.81025,
1.0747,2.77936,
1.0766,2.74872,
1.0785,2.71833,
1.0804,2.68822,
1.0823,2.6584,
1.0842,2.62887,
1.0861,2.59966,
1.088,2.57078,
1.0899,2.54222,
1.0918,2.51399,
1.0937,2.48611,
1.0956,2.45857,
1.0975,2.43139,
1.0994,2.40455,
1.1013,2.37807,
1.1032,2.35195,
1.1051,2.32619,
1.107,2.30078,
1.1089,2.27573,
1.1108,2.25104,
1.1127,2.2267,
1.1146,2.20271,
1.1165,2.17908,
1.1184,2.15579,
1.1203,2.13285,
1.1222,2.11025,
1.1241,2.08799,
1.126,2.06606,
1.1279,2.04447,
1.1298,2.0232,
1.1317,2.00226,
1.1336,1.98164,
1.1355,1.96133,
1.1374,1.94134,
1.1393,1.92165,
1.1412,1.90226,
1.1431,1.88317,
1.145,1.86437,
1.1469,1.84587,
1.1488,1.82764,
1.1507,1.8097,
1.1526,1.79203,
1.1545,1.77463,
1.1564,1.7575,
1.1583,1.74063,
1.1602,1.72401,
1.1621,1.70765,
1.164,1.69153,
1.1659,1.67566,
1.1678,1.66003,
1.1697,1.64464,
1.1716,1.62947,
1.1735,1.61453,
1.1754,1.59982,
1.1773,1.58532,
1.1792,1.57104,
1.1811,1.55697,
1.183,1.5431,
1.1849,1.52944,
1.1868,1.51598,
1.1887,1.50272,
1.1906,1.48964,
1.1925,1.47676,
1.1944,1.46406,
1.1963,1.45154,
1.1982,1.4392,
1.2001,1.42704,
1.202,1.41505,
1.2039,1.40323,
1.2058,1.39157,
1.2077,1.38008,
1.2096,1.36875,
1.2115,1.35757,
1.2134,1.34655,
1.2153,1.33568,
1.2172,1.32496,
1.2191,1.31439,
1.221,1.30395,
1.2229,1.29366,
1.2248,1.28351,
1.2267,1.27349,
1.2286,1.26361,
1.2305,1.25386,
1.2324,1.24423,
1.2343,1.23473,
1.2362,1.22536,
1.2381,1.21611,
1.24,1.20698,
1.2419,1.19796,
1.2438,1.18906,
1.2457,1.18028,
1.2476,1.1716,
1.2495,1.16304,
1.2514,1.15458,
1.2533,1.14623,
1.2552,1.13799,
1.2571,1.12985,
1.259,1.1218,
1.2609,1.11386,
1.2628,1.10601,
1.2647,1.09826,
1.2666,1.0906,
1.2685,1.08304,
1.2704,1.07557,
1.2723,1.06818,
1.2742,1.06089,
1.2761,1.05368,
1.278,1.04655,
1.2799,1.03951,
1.2818,1.03255,
1.2837,1.02568,
1.2856,1.01888,
1.2875,1.01216,
1.2894,1.00552,
1.2913,0.998949,
1.2932,0.992457,
1.2951,0.986039,
1.297,0.979693,
1.2989,0.973418,
1.3008,0.967213,
1.3027,0.961077,
1.3046,0.95501,
1.3065,0.949009,
1.3084,0.943073,
1.3103,0.937203,
1.3122,0.931397,
1.3141,0.925653,
1.316,0.919971,
1.3179,0.91435,
1.3198,0.90879,
1.3217,0.903288,
1.3236,0.897845,
1.3255,0.892459,
1.3274,0.887129,
1.3293,0.881855,
1.3312,0.876637,
1.3331,0.871472,
1.335,0.86636,
1.3369,0.861301,
1.3388,0.856294,
1.3407,0.851338,
1.3426,0.846432,
1.3445,0.841575,
1.3464,0.836768,
1.3483,0.832008,
1.3502,0.827296,
1.3521,0.822631,
1.354,0.818012,
1.3559,0.813438,
1.3578,0.808909,
1.3597,0.804425,
1.3616,0.799984,
1.3635,0.795586,
1.3654,0.79123,
1.3673,0.786917,
1.3692,0.782644,
1.3711,0.778412,
1.373,0.774221,
1.3749,0.770069,
1.3768,0.765956,
1.3787,0.761882,
1.3806,0.757846,
1.3825,0.753847,
1.3844,0.749885,
1.3863,0.74596,
1.3882,0.742071,
1.3901,0.738218,
1.392,0.7344,
1.3939,0.730616,
1.3958,0.726867,
1.3977,0.723151,
1.3996,0.719469,
1.4015,0.71582,
1.4034,0.712203,
1.4053,0.708619,
1.4072,0.705066,
1.4091,0.701544,
1.411,0.698053,
1.4129,0.694593,
1.4148,0.691163,
1.4167,0.687763,
1.4186,0.684392,
1.4205,0.68105,
1.4224,0.677737,
1.4243,0.674452,
1.4262,0.671195,
1.4281,0.667966,
1.43,0.664764,
1.4319,0.661589,
1.4338,0.658441,
1.4357,0.655319,
1.4376,0.652223,
1.4395,0.649152,
1.4414,0.646108,
1.4433,0.643088,
1.4452,0.640093,
1.4471,0.637122,
1.449,0.634176,
1.4509,0.631254,
1.4528,0.628355,
1.4547,0.62548,
1.4566,0.622628,
1.4585,0.619799,
1.4604,0.616992,
1.4623,0.614208,
1.4642,0.611445,
1.4661,0.608705,
1.468,0.605986,
1.4699,0.603288,
1.4718,0.600612,
1.4737,0.597957,
1.4756,0.595322,
1.4775,0.592707,
1.4794,0.590113,
1.4813,0.587538,
1.4832,0.584984,
1.4851,0.582449,
1.487,0.579933,
1.4889,0.577436,
1.4908,0.574958,
1.4927,0.572499,
1.4946,0.570059,
1.4965,0.567636,
1.4984,0.565232,
1.5003,0.562845,
1.5022,0.560477,
1.5041,0.558126,
1.506,0.555792,
1.5079,0.553475,
1.5098,0.551175,
1.5117,0.548892,
1.5136,0.546626,
1.5155,0.544376,
1.5174,0.542142,
1.5193,0.539925,
1.5212,0.537723,
1.5231,0.535537,
1.525,0.533367,
1.5269,0.531212,
1.5288,0.529073,
1.5307,0.526948,
1.5326,0.524839,
1.5345,0.522744,
1.5364,0.520664,
1.5383,0.518599,
1.5402,0.516548,
1.5421,0.514511,
1.544,0.512489,
1.5459,0.51048,
1.5478,0.508485,
1.5497,0.506504,
1.5516,0.504537,
1.5535,0.502582,
1.5554,0.500642,
1.5573,0.498714,
1.5592,0.496799,
1.5611,0.494897,
1.563,0.493008,
1.5649,0.491132,
1.5668,0.489268,
1.5687,0.487417,
1.5706,0.485578,
1.5725,0.483751,
1.5744,0.481936,
1.5763,0.480133,
1.5782,0.478342,
1.5801,0.476563,
1.582,0.474795,
1.5839,0.473039,
1.5858,0.471294,
1.5877,0.469561,
1.5896,0.467838,
1.5915,0.466127,
1.5934,0.464427,
1.5953,0.462738,
1.5972,0.461059,
1.5991,0.459391,
1.601,0.457734,
1.6029,0.456087,
1.6048,0.454451,
1.6067,0.452825,
1.6086,0.451209,
1.6105,0.449603,
1.6124,0.448007,
1.6143,0.446421,
1.6162,0.444845,
1.6181,0.443279,
1.62,0.441723,
1.6219,0.440176,
1.6238,0.438638,
1.6257,0.43711,
1.6276,0.435592,
1.6295,0.434082,
1.6314,0.432582,
1.6333,0.431091,
1.6352,0.429609,
1.6371,0.428136,
1.639,0.426671,
1.6409,0.425216,
1.6428,0.423769,
1.6447,0.422331,
1.6466,0.420901,
1.6485,0.41948,
1.6504,0.418067,
1.6523,0.416663,
1.6542,0.415267,
1.6561,0.413879,
1.658,0.412499,
1.6599,0.411128,
1.6618,0.409764,
1.6637,0.408408,
1.6656,0.40706,
1.6675,0.40572,
1.6694,0.404388,
1.6713,0.403063,
1.6732,0.401746,
1.6751,0.400437,
1.677,0.399135,
1.6789,0.39784,
1.6808,0.396553,
1.6827,0.395273,
1.6846,0.394,
1.6865,0.392735,
1.6884,0.391476,
1.6903,0.390225,
1.6922,0.388981,
1.6941,0.387744,
1.696,0.386513,
1.6979,0.38529,
1.6998,0.384073,
1.7017,0.382863,
1.7036,0.381659,
1.7055,0.380463,
1.7074,0.379273,
1.7093,0.378089,
1.7112,0.376912,
1.7131,0.375741,
1.715,0.374577,
1.7169,0.373419,
1.7188,0.372267,
1.7207,0.371122,
1.7226,0.369982,
1.7245,0.368849,
1.7264,0.367722,
1.7283,0.366601,
1.7302,0.365486,
1.7321,0.364377,
1.734,0.363274,
1.7359,0.362176,
1.7378,0.361085,
1.7397,0.359999,
1.7416,0.358919,
1.7435,0.357845,
1.7454,0.356776,
1.7473,0.355713,
1.7492,0.354655,
1.7511,0.353603,
1.753,0.352557,
1.7549,0.351515,
1.7568,0.35048,
1.7587,0.349449,
1.7606,0.348424,
1.7625,0.347404,
1.7644,0.34639,
1.7663,0.34538,
1.7682,0.344376,
1.7701,0.343377,
1.772,0.342383,
1.7739,0.341394,
1.7758,0.34041,
1.7777,0.339431,
1.7796,0.338457,
1.7815,0.337488,
1.7834,0.336524,
1.7853,0.335564,
1.7872,0.33461,
1.7891,0.33366,
1.791,0.332715,
1.7929,0.331774,
1.7948,0.330838,
1.7967,0.329907,
1.7986,0.328981,
1.8005,0.328059,
1.8024,0.327141,
1.8043,0.326228,
1.8062,0.32532,
1.8081,0.324416,
1.81,0.323516,
1.8119,0.322621,
1.8138,0.32173,
1.8157,0.320843,
1.8176,0.319961,
1.8195,0.319083,
1.8214,0.318209,
1.8233,0.317339,
1.8252,0.316474,
1.8271,0.315612,
1.829,0.314755,
1.8309,0.313902,
1.8328,0.313053,
1.8347,0.312208,
1.8366,0.311367,
1.8385,0.31053,
1.8404,0.309697,
1.8423,0.308868,
1.8442,0.308042,
1.8461,0.307221,
1.848,0.306403,
1.8499,0.30559,
1.8518,0.30478,
1.8537,0.303973,
1.8556,0.303171,
1.8575,0.302372,
1.8594,0.301577,
1.8613,0.300786,
1.8632,0.299998,
1.8651,0.299214,
1.867,0.298433,
1.8689,0.297656,
1.8708,0.296883,
1.8727,0.296113,
1.8746,0.295347,
1.8765,0.294584,
1.8784,0.293825,
1.8803,0.293069,
