Max_Force_Wall0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Max Force Wall,
1.0063,37.5502,
1.0082,37.4236,
1.0101,37.2821,
1.012,37.1263,
1.0139,36.9566,
1.0158,36.7736,
1.0177,36.5777,
1.0196,36.3697,
1.0215,36.15,
1.0234,35.9195,
1.0253,35.6786,
1.0272,35.4281,
1.0291,35.1687,
1.031,34.901,
1.0329,34.6257,
1.0348,34.3434,
1.0367,34.0549,
1.0386,33.7607,
1.0405,33.4614,
1.0424,33.1578,
1.0443,32.8503,
1.0462,32.5395,
1.0481,32.226,
1.05,31.9103,
1.0519,31.5928,
1.0538,31.2741,
1.0557,30.9546,
1.0576,30.6347,
1.0595,30.3148,
1.0614,29.9952,
1.0633,29.6763,
1.0652,29.3585,
1.0671,29.0419,
1.069,28.7269,
1.0709,28.4137,
1.0728,28.1025,
1.0747,27.7936,
1.0766,27.4872,
1.0785,27.1833,
1.0804,26.8822,
1.0823,26.584,
1.0842,26.2887,
1.0861,25.9966,
1.088,25.7078,
1.0899,25.4222,
1.0918,25.1399,
1.0937,24.8611,
1.0956,24.5857,
1.0975,24.3139,
1.0994,24.0455,
1.1013,23.7807,
1.1032,23.5195,
1.1051,23.2619,
1.107,23.0078,
1.1089,22.7573,
1.1108,22.5104,
1.1127,22.267,
1.1146,22.0271,
1.1165,21.7908,
1.1184,21.5579,
1.1203,21.3285,
1.1222,21.1025,
1.1241,20.8799,
1.126,20.6606,
1.1279,20.4447,
1.1298,20.232,
1.1317,20.0226,
1.1336,19.8164,
1.1355,19.6133,
1.1374,19.4134,
1.1393,19.2165,
1.1412,19.0226,
1.1431,18.8317,
1.145,18.6437,
1.1469,18.4587,
1.1488,18.2764,
1.1507,18.097,
1.1526,17.9203,
1.1545,17.7463,
1.1564,17.575,
1.1583,17.4063,
1.1602,17.2401,
1.1621,17.0765,
1.164,16.9153,
1.1659,16.7566,
1.1678,16.6003,
1.1697,16.4464,
1.1716,16.2947,
1.1735,16.1453,
1.1754,15.9982,
1.1773,15.8532,
1.1792,15.7104,
1.1811,15.5697,
1.183,15.431,
1.1849,15.2944,
1.1868,15.1598,
1.1887,15.0272,
1.1906,14.8964,
1.1925,14.7676,
1.1944,14.6406,
1.1963,14.5154,
1.1982,14.392,
1.2001,14.2704,
1.202,14.1505,
1.2039,14.0323,
1.2058,13.9157,
1.2077,13.8008,
1.2096,13.6875,
1.2115,13.5757,
1.2134,13.4655,
1.2153,13.3568,
1.2172,13.2496,
1.2191,13.1439,
1.221,13.0395,
1.2229,12.9366,
1.2248,12.8351,
1.2267,12.7349,
1.2286,12.6361,
1.2305,12.5386,
1.2324,12.4423,
1.2343,12.3473,
1.2362,12.2536,
1.2381,12.1611,
1.24,12.0698,
1.2419,11.9796,
1.2438,11.8906,
1.2457,11.8028,
1.2476,11.716,
1.2495,11.6304,
1.2514,11.5458,
1.2533,11.4623,
1.2552,11.3799,
1.2571,11.2985,
1.259,11.218,
1.2609,11.1386,
1.2628,11.0601,
1.2647,10.9826,
1.2666,10.906,
1.2685,10.8304,
1.2704,10.7557,
1.2723,10.6818,
1.2742,10.6089,
1.2761,10.5368,
1.278,10.4655,
1.2799,10.3951,
1.2818,10.3255,
1.2837,10.2568,
1.2856,10.1888,
1.2875,10.1216,
1.2894,10.0552,
1.2913,9.98949,
1.2932,9.92457,
1.2951,9.86039,
1.297,9.79693,
1.2989,9.73418,
1.3008,9.67213,
1.3027,9.61077,
1.3046,9.5501,
1.3065,9.49009,
1.3084,9.43073,
1.3103,9.37203,
1.3122,9.31397,
1.3141,9.25653,
1.316,9.19971,
1.3179,9.1435,
1.3198,9.0879,
1.3217,9.03288,
1.3236,8.97845,
1.3255,8.92459,
1.3274,8.87129,
1.3293,8.81855,
1.3312,8.76637,
1.3331,8.71472,
1.335,8.6636,
1.3369,8.61301,
1.3388,8.56294,
1.3407,8.51338,
1.3426,8.46432,
1.3445,8.41575,
1.3464,8.36768,
1.3483,8.32008,
1.3502,8.27296,
1.3521,8.22631,
1.354,8.18012,
1.3559,8.13438,
1.3578,8.08909,
1.3597,8.04425,
1.3616,7.99984,
1.3635,7.95586,
1.3654,7.9123,
1.3673,7.86917,
1.3692,7.82644,
1.3711,7.78412,
1.373,7.74221,
1.3749,7.70069,
1.3768,7.65956,
1.3787,7.61882,
1.3806,7.57846,
1.3825,7.53847,
1.3844,7.49885,
1.3863,7.4596,
1.3882,7.42071,
1.3901,7.38218,
1.392,7.344,
1.3939,7.30616,
1.3958,7.26867,
1.3977,7.23151,
1.3996,7.19469,
1.4015,7.1582,
1.4034,7.12203,
1.4053,7.08619,
1.4072,7.05066,
1.4091,7.01544,
1.411,6.98053,
